GeneID	SRR12438069	SRR12438070	SRR12438071	SRR12438072	SRR12438073	SRR12438074	SRR12438075	SRR12438076	SRR12438077	SRR12438078	SRR12438079	SRR12438080
ENSG00000237402	0	0	1	0	0	1	0	0	1	0	1	0
ENSG00000237728	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000225126	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000270171	0	0	11	8	18	10	5	5	11	0	12	6
ENSG00000270035	3	1	3	8	7	4	5	3	3	3	10	15
ENSG00000269978	2	0	9	5	9	13	4	9	8	0	20	10
ENSG00000049245	247	181	2004	1647	2148	2153	638	1103	1381	234	5855	4411
ENSG00000269925	0	4	16	6	18	7	6	7	11	0	13	29
ENSG00000049246	104	122	1110	910	711	705	858	1006	669	49	2060	639
ENSG00000236266	2	1	2	2	4	8	9	2	4	0	7	1
ENSG00000049247	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000049249	8	13	56	45	21	34	2	12	50	12	165	423
ENSG00000270330	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000116288	705	671	2919	2789	3073	4464	1278	1979	2207	467	8346	3769
ENSG00000200344	0	0	2	1	0	3	4	0	1	0	1	3
ENSG00000284747	2	2	13	23	22	27	5	11	21	5	19	102
ENSG00000284716	0	0	3	2	3	2	0	2	1	0	1	9
ENSG00000116285	306	279	2167	2255	1710	2924	397	963	1876	252	6535	28836
ENSG00000238290	1	0	10	9	15	14	2	1	13	0	9	27
ENSG00000232848	1	0	0	0	0	2	0	0	0	0	0	2
ENSG00000229305	0	0	1	0	1	0	0	0	1	0	0	1
ENSG00000227634	0	1	0	1	5	4	1	2	0	0	12	16
ENSG00000200975	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233645	0	0	1	0	0	1	0	0	0	0	0	0
ENSG00000251977	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162426	22	23	62	87	143	104	60	87	46	3	130	125
ENSG00000252254	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000142599	1330	1010	5414	5464	5113	5349	2107	3159	4510	844	9874	6119
ENSG00000232912	1	1	6	5	6	1	2	2	10	0	12	13
ENSG00000221083	0	0	1	0	0	1	0	1	0	0	0	0
ENSG00000270282	0	0	0	1	0	0	0	1	0	0	0	0
ENSG00000234619	0	0	0	0	1	0	1	0	0	0	0	0
ENSG00000224315	0	0	0	0	2	0	0	0	0	1	0	0
ENSG00000222511	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000226545	0	0	0	0	0	1	0	0	1	0	0	1
ENSG00000228423	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000229716	0	0	1	0	1	0	0	1	0	0	0	2
ENSG00000074800	4162	4699	26710	31291	25182	31033	6045	13851	14651	2226	73875	132619
ENSG00000274258	0	0	1	2	0	0	0	0	0	0	0	14
ENSG00000236269	1	0	6	12	7	8	3	5	10	0	12	68
ENSG00000230679	1	0	3	2	3	3	2	3	4	0	5	1
ENSG00000201725	0	0	0	0	0	0	0	0	0	0	1	2
ENSG00000238249	0	0	0	0	0	4	0	2	0	0	0	0
ENSG00000232208	0	0	0	0	0	1	0	1	0	0	0	0
