protein1 protein2 combined_score
9606.ENSP00000005340 9606.ENSP00000434034 985
9606.ENSP00000005340 9606.ENSP00000470248 970
9606.ENSP00000005340 9606.ENSP00000286201 964
9606.ENSP00000005340 9606.ENSP00000323901 956
9606.ENSP00000005340 9606.ENSP00000256646 926
9606.ENSP00000005340 9606.ENSP00000262506 918
9606.ENSP00000005340 9606.ENSP00000268459 962
9606.ENSP00000005340 9606.ENSP00000261349 993
9606.ENSP00000005340 9606.ENSP00000363826 937
9606.ENSP00000005340 9606.ENSP00000257430 964
9606.ENSP00000005340 9606.ENSP00000287934 928
9606.ENSP00000005340 9606.ENSP00000364683 934
9606.ENSP00000005340 9606.ENSP00000324806 976
9606.ENSP00000005340 9606.ENSP00000262320 999
9606.ENSP00000005340 9606.ENSP00000264634 978
9606.ENSP00000005340 9606.ENSP00000217244 943
9606.ENSP00000005340 9606.ENSP00000219255 958
9606.ENSP00000005340 9606.ENSP00000296257 906
9606.ENSP00000005340 9606.ENSP00000380044 967
9606.ENSP00000005340 9606.ENSP00000300093 914
9606.ENSP00000005340 9606.ENSP00000409581 929
9606.ENSP00000005340 9606.ENSP00000492363 971
9606.ENSP00000005340 9606.ENSP00000364163 914
9606.ENSP00000005340 9606.ENSP00000351605 933
9606.ENSP00000005340 9606.ENSP00000404911 969
9606.ENSP00000005340 9606.ENSP00000378557 978
9606.ENSP00000005340 9606.ENSP00000357040 994
9606.ENSP00000005340 9606.ENSP00000262457 942
9606.ENSP00000005340 9606.ENSP00000381876 936
9606.ENSP00000005340 9606.ENSP00000345785 927
9606.ENSP00000005340 9606.ENSP00000442954 908
9606.ENSP00000005386 9606.ENSP00000202017 987
9606.ENSP00000005386 9606.ENSP00000318297 999
9606.ENSP00000005386 9606.ENSP00000262265 999
9606.ENSP00000005386 9606.ENSP00000264718 935
9606.ENSP00000005386 9606.ENSP00000476948 963
9606.ENSP00000005386 9606.ENSP00000376097 977
9606.ENSP00000005386 9606.ENSP00000292614 936
9606.ENSP00000005386 9606.ENSP00000335153 990
9606.ENSP00000005386 9606.ENSP00000473172 999
9606.ENSP00000005386 9606.ENSP00000266987 904
9606.ENSP00000005386 9606.ENSP00000360609 992
9606.ENSP00000005386 9606.ENSP00000280350 902
9606.ENSP00000005386 9606.ENSP00000295121 995
9606.ENSP00000005386 9606.ENSP00000337393 989
9606.ENSP00000005386 9606.ENSP00000356989 986
9606.ENSP00000005386 9606.ENSP00000378563 996
9606.ENSP00000005386 9606.ENSP00000306123 931
9606.ENSP00000005386 9606.ENSP00000478303 988
9606.ENSP00000005587 9606.ENSP00000493623 981
9606.ENSP00000005587 9606.ENSP00000293379 900
9606.ENSP00000005587 9606.ENSP00000380227 901
9606.ENSP00000005587 9606.ENSP00000379350 914
9606.ENSP00000006053 9606.ENSP00000302234 992
9606.ENSP00000006053 9606.ENSP00000292303 977
9606.ENSP00000006053 9606.ENSP00000246657 915
9606.ENSP00000006053 9606.ENSP00000296871 953
9606.ENSP00000006053 9606.ENSP00000229135 923
9606.ENSP00000006053 9606.ENSP00000259607 931
9606.ENSP00000006053 9606.ENSP00000379110 939
9606.ENSP00000006053 9606.ENSP00000474412 971
9606.ENSP00000006053 9606.ENSP00000225474 942
9606.ENSP00000006053 9606.ENSP00000396198 968
9606.ENSP00000006053 9606.ENSP00000264498 971
9606.ENSP00000006053 9606.ENSP00000351671 920
9606.ENSP00000006053 9606.ENSP00000386884 995
9606.ENSP00000006053 9606.ENSP00000295683 994
9606.ENSP00000006053 9606.ENSP00000351059 999
9606.ENSP00000006053 9606.ENSP00000395704 939
9606.ENSP00000006053 9606.ENSP00000441600 930
9606.ENSP00000006053 9606.ENSP00000311035 971
9606.ENSP00000006053 9606.ENSP00000292301 997
9606.ENSP00000006053 9606.ENSP00000296140 905
9606.ENSP00000006053 9606.ENSP00000362795 990
9606.ENSP00000006053 9606.ENSP00000482259 904
9606.ENSP00000006053 9606.ENSP00000319635 915
9606.ENSP00000006053 9606.ENSP00000354901 926
9606.ENSP00000006053 9606.ENSP00000265171 961
9606.ENSP00000006053 9606.ENSP00000293778 914
9606.ENSP00000006053 9606.ENSP00000305651 948
9606.ENSP00000006275 9606.ENSP00000409231 933
9606.ENSP00000006275 9606.ENSP00000392495 999
9606.ENSP00000006275 9606.ENSP00000302783 999
9606.ENSP00000006275 9606.ENSP00000387286 921
9606.ENSP00000006275 9606.ENSP00000436005 999
9606.ENSP00000006275 9606.ENSP00000357591 937
9606.ENSP00000006275 9606.ENSP00000470262 999
9606.ENSP00000006275 9606.ENSP00000283351 998
9606.ENSP00000006275 9606.ENSP00000324318 989
9606.ENSP00000006275 9606.ENSP00000291574 992
9606.ENSP00000006275 9606.ENSP00000335371 965
9606.ENSP00000006275 9606.ENSP00000457728 997
9606.ENSP00000006275 9606.ENSP00000330289 928
9606.ENSP00000006275 9606.ENSP00000469888 968
9606.ENSP00000006275 9606.ENSP00000373979 995
9606.ENSP00000006275 9606.ENSP00000480332 999
9606.ENSP00000007390 9606.ENSP00000364293 905
9606.ENSP00000008527 9606.ENSP00000397133 918
9606.ENSP00000008527 9606.ENSP00000379682 935
9606.ENSP00000008527 9606.ENSP00000479168 940
9606.ENSP00000008527 9606.ENSP00000338283 999
9606.ENSP00000008527 9606.ENSP00000256495 969
9606.ENSP00000008527 9606.ENSP00000297689 945
9606.ENSP00000008527 9606.ENSP00000478187 999
9606.ENSP00000008527 9606.ENSP00000426983 999
9606.ENSP00000008527 9606.ENSP00000246672 976
9606.ENSP00000008527 9606.ENSP00000254101 923
9606.ENSP00000008527 9606.ENSP00000450607 997
9606.ENSP00000008527 9606.ENSP00000381531 993
9606.ENSP00000008527 9606.ENSP00000323867 913
9606.ENSP00000008527 9606.ENSP00000384517 999
9606.ENSP00000008527 9606.ENSP00000346148 923
9606.ENSP00000008527 9606.ENSP00000347834 999
9606.ENSP00000008527 9606.ENSP00000383067 961
9606.ENSP00000008527 9606.ENSP00000231509 914
9606.ENSP00000008527 9606.ENSP00000380044 999
9606.ENSP00000008527 9606.ENSP00000366093 922
9606.ENSP00000008527 9606.ENSP00000287878 908
9606.ENSP00000008527 9606.ENSP00000314420 998
9606.ENSP00000008527 9606.ENSP00000441369 920
9606.ENSP00000008527 9606.ENSP00000254657 999
9606.ENSP00000008527 9606.ENSP00000242728 978
9606.ENSP00000008527 9606.ENSP00000261523 935
9606.ENSP00000008527 9606.ENSP00000482093 999
9606.ENSP00000008527 9606.ENSP00000360290 923
9606.ENSP00000008527 9606.ENSP00000310006 967
9606.ENSP00000008938 9606.ENSP00000302961 963
9606.ENSP00000008938 9606.ENSP00000244709 920
9606.ENSP00000009041 9606.ENSP00000337446 942
9606.ENSP00000009041 9606.ENSP00000345656 933
9606.ENSP00000009041 9606.ENSP00000276449 987
9606.ENSP00000009105 9606.ENSP00000297494 907
9606.ENSP00000009105 9606.ENSP00000291295 943
9606.ENSP00000009530 9606.ENSP00000428085 980
9606.ENSP00000009530 9606.ENSP00000498019 978
9606.ENSP00000009530 9606.ENSP00000423399 971
9606.ENSP00000009530 9606.ENSP00000408146 982
9606.ENSP00000009530 9606.ENSP00000258955 923
9606.ENSP00000009530 9606.ENSP00000311430 982
9606.ENSP00000009530 9606.ENSP00000495273 980
9606.ENSP00000009530 9606.ENSP00000346037 940
9606.ENSP00000009530 9606.ENSP00000364080 997
9606.ENSP00000009530 9606.ENSP00000472985 981
9606.ENSP00000009530 9606.ENSP00000229829 966
9606.ENSP00000009530 9606.ENSP00000428223 937
9606.ENSP00000009530 9606.ENSP00000296102 967
9606.ENSP00000009530 9606.ENSP00000472469 980
9606.ENSP00000009530 9606.ENSP00000435096 978
9606.ENSP00000009530 9606.ENSP00000300651 937
9606.ENSP00000009530 9606.ENSP00000386884 994
9606.ENSP00000009530 9606.ENSP00000398632 999
9606.ENSP00000009530 9606.ENSP00000363018 935
9606.ENSP00000009530 9606.ENSP00000364076 992
9606.ENSP00000009530 9606.ENSP00000333837 971
9606.ENSP00000009530 9606.ENSP00000354580 969
9606.ENSP00000009530 9606.ENSP00000262584 980
9606.ENSP00000009530 9606.ENSP00000429374 981
9606.ENSP00000009530 9606.ENSP00000258455 957
9606.ENSP00000009530 9606.ENSP00000357981 981
9606.ENSP00000009530 9606.ENSP00000389103 981
9606.ENSP00000009530 9606.ENSP00000463842 935
9606.ENSP00000009530 9606.ENSP00000396330 966
9606.ENSP00000009530 9606.ENSP00000379888 979
9606.ENSP00000009530 9606.ENSP00000288937 971
9606.ENSP00000009530 9606.ENSP00000346080 904
9606.ENSP00000009530 9606.ENSP00000466010 981
9606.ENSP00000009530 9606.ENSP00000341885 981
9606.ENSP00000009530 9606.ENSP00000377640 975
9606.ENSP00000009530 9606.ENSP00000492441 935
9606.ENSP00000009530 9606.ENSP00000418082 972
9606.ENSP00000009530 9606.ENSP00000382250 969
